Sample	alt_0	alt_1
7f83dfc3-3e19-4134-8581-af3770a390c2	0+3,0;0	0+0,0;0
81084c30-0fce-4ff4-a8f1-06734a16f620	0+0,0;0	0+0,0;0
8397d31a-2aa6-4045-9cd4-36395b71cb72	0+0,0;0	0+0,0;0
85b32980-d102-4e98-ade3-1904c0a0fca3	0+0,0;0	0+0,0;0
86ba323c-19bb-4397-af2c-4037fd5310b1	0+0,0;0	0+0,0;0
871f0b13-abfe-4904-8fbf-8afb4d5a9fc1	0+0,0;1	0+0,0;0
8827dc70-b26f-4903-8c1a-7907e9f57701	0+0,0;0	0+0,0;0
8842f4bc-f240-4dcc-9a0e-b74218e2e767	0+0,0;0	0+0,0;0
887b4aad-9120-4d3e-a709-1bf0596d3187	0+0,0;0	0+0,0;0
8bd6dab6-3be3-4642-b305-6d101b29cc55	0+0,0;0	0+0,0;0
8c85dadd-7e80-48ea-b510-d36d7cda9a1f	0+0,0;0	0+0,0;0
90a0f8aa-0624-4a3a-8151-128b110f2aef	0+0,0;0	0+0,0;0
94aa45ce-802f-4f5d-bff6-9ff56c119107	0+0,0;0	0+0,0;0
971d8350-35e4-44b7-9484-ed394ec87074	0+0,0;0	0+0,0;0
97c947e2-c840-49e1-9d15-0c259dfe8d9a	0+0,0;0	0+0,0;0
98edbba2-095b-4198-a7dd-4c5d5f303570	0+0,0;0	0+0,0;0
9a44bc81-de1d-4429-afe2-e91c3095fbd0	0+0,0;4	0+0,0;0
9ea64595-9595-4418-99bd-ab5e5687d08c	0+0,0;0	0+0,0;0
9fa88481-4545-4ca5-a217-4983c791954b	1+0,0;0	0+0,0;0
9fb8aa09-2208-4c49-90b5-cb7f072a6ba0	0+0,0;0	0+0,0;0
a1cdb243-d08f-4fbd-ba9f-b9e535efd935	0+0,0;0	0+0,0;0
a1f40a22-171e-4438-95f0-98700c9f1635	0+0,0;0	0+0,0;0
a47ed6a2-c817-416b-8c64-0cdbcdd5eb48	0+0,0;0	0+0,0;0
a5f48b3b-be7c-44aa-8910-0be75bc5e654	0+0,0;0	0+0,0;0
a653860e-dd07-46ec-899e-a26ff76665dd	0+0,0;0	0+0,0;0
a6553fb4-ab87-4eb3-976d-ebd7f8f5dc72	0+0,0;0	0+0,0;0
a97c5f07-9249-4ed2-a40c-5639e8eb7bcc	0+0,0;0	0+0,0;0
